,left,top,width,height,conf,text,x,y,PageHeight,PageWidth,isTop,isBottom,isRight,isLeft,isPast,isFuture,date,dated,invoice,delivery,order,due,payment,tax,bill,receipt,issue,imageName,output
64,233,2092,132,20,93.872345,2023-01-01,365,2112,3312,2342,0,0,0,0,0,0,0.126368883414436,0,0,0,0,0,0,0.533173602445271,0,0,0,7.jpeg,0
65,233,2169,132,34,95.255882,2023-01-01,365,2203,3312,2342,0,0,0,0,0,0,0.153221526785492,0,0,0,0,0,0,0.530639180663357,0,0,0,7.jpeg,0
66,329,2855,206,26,90.692288,"Date : Mar 4, 2023 ",535,2881,3312,2342,0,0,0,0,0,0,0.063194572702596,0,0,0,0,0,0,0,0,0,0,7.jpeg,0
67,1384,2876,655,30,82.646292625,"System Generated On : Jan 30, 2023,'10:06:00 AM ",2039,2906,3312,2342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.jpeg,0
68,326,500,159,24,26.945869,21..12.2022,485,524,2337,1653,0,0,0,0,0,0,0.228070175438596,0,0.152304211846954,0,0,0,0,0.167771853037212,0.0697078998288654,0,0,1.jpeg,1
69,446,254,1029,35,87.7174268888889,"No.12/1, 1st.floor, Near Omshkathi Temple, NGR Layout, Roopena Agrahara ",1475,289,2337,1653,0,0,0,0,0,0,0,0,0.636055667890052,0,0,0,0,0.744913215257181,0,0,0,1.jpeg,0
70,146,497,319,27,77.80758275,Date of Issue: 21..12.2022 ,465,524,2337,1653,0,0,0,0,0,0,0.240169388989716,0,0.140296791485007,0,0,0,0,0.157371418300483,0.0615673389720179,0,0,1.jpeg,1
71,1261,449,145,35,72.230408,JAN23/007,1406,484,2339,1653,0,0,0,0,0,0,0,0,0.160294521963696,0,0,0,0,0.218818909016739,0,0,0,41.jpeg,0
72,1149,494,203,25,51.322166,"Date:'12.01.2023,",1352,519,2339,1653,0,0,0,0,0,0,0,0,0.127048216612741,0,0,0,0,0.185727356761768,0,0,0,41.jpeg,1
73,999,449,386,35,73.22201925,Tax Invoice Number: JAN23/007 ,1385,484,2339,1653,0,0,0,0,0,0,0,0,0.147640686011822,0,0,0,0,0.206141119922758,0,0,0,41.jpeg,0
74,999,489,338,27,79.816892,"Tax Invoice Date:'12.01.2023, ",1337,516,2339,1653,0,0,0,0,0,0,0,0,0.117967332123412,0,0,0,0,0.17664851784634,0,0,0,41.jpeg,1
75,254,480,97,22,81.494781,02-01-2023,351,502,2338,1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.jpeg,1
76,254,480,97,22,81.494781,02-01-2023 ,351,502,2338,1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.jpeg,1
77,1178,379,111,21,92.396561,2-Mar-20,1289,400,2200,1700,0,0,0,0,0,0,0,0,0.165955896218947,0,0,0,0,0.184854870565945,0,0,0,21.jpeg,1
78,1178,379,111,21,92.396561,2-Mar-20 ,1289,400,2200,1700,0,0,0,0,0,0,0,0,0.165955896218947,0,0,0,0,0.184854870565945,0,0,0,21.jpeg,1
79,1011,404,165,20,92.399582,28-SEP-2022.,1176,424,2339,1654,0,0,0,0,0,0,0,0,0.153567705164446,0,0,0,0,0,0,0,0,38.jpeg,1
80,1011,404,165,20,92.399582,28-SEP-2022. ,1176,424,2339,1654,0,0,0,0,0,0,0,0,0.153567705164446,0,0,0,0,0,0,0,0,38.jpeg,1
81,1022,344,101,23,82.26268,30-03-2014,1123,367,2200,1700,0,0,0,0,0,0,0,0.0623529411764706,0.482661582960675,0,0,0,0,0,0,0,0,11.jpeg,0
82,1012,340,173,36,83.4511336666667,: 30-03-2014 GST ,1185,376,2200,1700,0,0,0,0,0,0,0,0.098908167016622,0.517900182428118,0,0,0,0,0,0,0,0,11.jpeg,0
83,1465,1019,73,21,35.641792,2.19.80,1538,1040,2200,1700,0,0,0,0,0,0,0,0,0,0,0.86359352387913,0,0.66677143081675,0.609869966999432,0,0,0,6.jpeg,0
84,1465,1019,73,21,35.641792,2.19.80 ,1538,1040,2200,1700,0,0,0,0,0,0,0,0,0,0,0.86359352387913,0,0.66677143081675,0.609869966999432,0,0,0,6.jpeg,0
85,451,289,112,23,92.698341,2-Mar-20,563,312,2200,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164202447846748,0,0,0,30.jpeg,1
86,1244,576,165,22,94.45269,07-06-2022,1409,598,2337,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181506361975127,0,43.jpeg,1
87,1244,576,165,22,94.45269,07-06-2022 ,1409,598,2337,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181506361975127,0,43.jpeg,1
88,740,424,124,21,96.701378,14/06/2021,864,445,1654,2339,0,0,0,0,0,0,0,0,0.29713552800342,0,0,0,0,0,0,0,0,47.jpeg,1
89,2043,422,124,21,96.766182,14/06/2021,2167,443,1654,2339,0,0,0,0,0,0,0,0,0.854212057209929,0,0,0,0,0,0,0,0,47.jpeg,0
90,770,1120,126,24,80.797455,16/06/2021.,896,1144,1654,2339,0,0,0,0,0,0,0,0,0.13815494263553,0,0,0,0,0.200822880512072,0,0,0,47.jpeg,0
91,70,1574,123,22,96.221169,15/09/2022,193,1596,1654,2339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.jpeg,0
92,770,1120,126,24,80.797455,16/06/2021. ,896,1144,1654,2339,0,0,0,0,0,0,0,0,0.13815494263553,0,0,0,0,0.200822880512072,0,0,0,47.jpeg,0
93,70,1574,123,22,96.221169,15/09/2022 ,193,1596,1654,2339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.jpeg,0
94,1183,250,138,35,0,2-Jan-23-—,1321,285,2339,1654,0,0,0,0,0,0,0,0.0943177767264533,0.223047793473771,0,0,0,0,0,0.0968604526249619,0,0,15.jpeg,1
95,1183,250,138,35,0,2-Jan-23-— ,1321,285,2339,1654,0,0,0,0,0,0,0,0.0943177767264533,0.223047793473771,0,0,0,0,0,0.0968604526249619,0,0,15.jpeg,1
96,555,857,97,21,92.409851,9/12/22,652,878,2200,1700,0,0,0,0,0,0,0.0617647058823529,0,0,0,0,0,0,0,0,0,0,29.jpeg,0
97,369,918,160,21,11.995461,Dtd.8/12/22,529,939,2200,1700,0,0,0,0,0,0,0.0296801681183945,0,0,0,0,0,0,0,0,0,0,29.jpeg,0
98,1453,1578,78,13,65.889305,2022.12.09,1531,1591,2200,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.jpeg,0
99,370,858,268,26,93.7022576666667,Program Date 9/12/22 ,638,884,2200,1700,0,0,0,0,0,0,0.053598842715159,0,0,0,0,0,0,0,0,0,0,29.jpeg,0
100,369,918,160,21,11.995461,Dtd.8/12/22 ,529,939,2200,1700,0,0,0,0,0,0,0.0296801681183945,0,0,0,0,0,0,0,0,0,0,29.jpeg,0
101,1244,195,112,21,85.538055,1-Mar-23,1356,216,2200,1700,0,0,0,0,0,0,0.157647714120058,0,0.196471114042479,0,0,0,0,0,0,0,0,12.jpeg,1
102,1244,195,112,21,85.538055,1-Mar-23 ,1356,216,2200,1700,0,0,0,0,0,0,0.157647714120058,0,0.196471114042479,0,0,0,0,0,0,0,0,12.jpeg,1
103,197,328,127,17,63.957451,21-Mar-2023,324,345,2339,1653,0,0,0,0,0,0,0.0967937084089534,0,0,0,0,0,0,0,0,0,0,53.jpeg,1
104,118,328,178,17,75.0404256666667,Date : 21-Mar-2023 ,296,345,2339,1653,0,0,0,0,0,0,0.0798548094373866,0,0,0,0,0,0,0,0,0,0,53.jpeg,1
105,1377,144,118,24,33.747887,‘04/11/2022,1495,168,2200,1700,0,0,0,0,0,0,0,0,0.210012297947659,0,0,0,0,0,0,0,0,35.jpeg,1
106,1377,144,118,24,33.747887,‘04/11/2022 ,1495,168,2200,1700,0,0,0,0,0,0,0,0,0.210012297947659,0,0,0,0,0,0,0,0,35.jpeg,1
107,1400,517,112,23,83.262383,1-Mar-23,1512,540,2200,1700,0,0,0,0,0,0,0.128206267091586,0,0.151775596644128,0.155080822421819,0,0,0.158880605167857,0,0,0,0,10.jpeg,1
108,1392,600,135,25,5.867142,:27-Feb-23,1527,625,2200,1700,0,0,0,0,0,0,0.131784304852737,0,0.164754847659411,0.15407244240874,0,0,0.152618552523211,0,0,0,0,10.jpeg,0
109,1400,517,112,23,83.262383,1-Mar-23 ,1512,540,2200,1700,0,0,0,0,0,0,0.128206267091586,0,0.151775596644128,0.155080822421819,0,0,0.158880605167857,0,0,0,0,10.jpeg,1
110,1377,604,139,25,2.933571,‘ :27-Feb-23 ,1516,629,2200,1700,0,0,0,0,0,0,0.125360884865037,0,0.158886807916798,0.147432982936867,0,0,0.145898507052497,0,0,0,0,10.jpeg,0
111,444,376,116,24,2.423035,02-12-2022,560,400,2339,1654,0,0,0,0,0,0,0.250183406408985,0,0.262999138310728,0,0.0537579594017061,0.283237212391288,0,0,0,0,0,8.jpeg,1
112,444,452,115,17,51.541267,01-01-2023,559,469,2339,1654,0,0,0,0,0,0,0.24788428646469,0,0.264095358688137,0,0.0335430547585748,0.281136963533443,0,0,0,0,0,8.jpeg,0
113,1046,1388,113,18,96.671463,02-12-2022,1159,1406,2339,1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.jpeg,0
114,1291,149,134,22,96.425758,04/11/2022,1425,171,2200,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13296060202421,0,0,40.jpeg,1
115,1291,149,134,22,96.425758,04/11/2022 ,1425,171,2200,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13296060202421,0,0,40.jpeg,1
116,812,793,134,23,85.419106,14-01-2020,946,816,2339,1654,0,0,0,0,0,0,0.181588964565613,0,0,0,0,0,0,0,0,0,0,49.jpeg,0
117,1285,383,247,45,91.106426,January 7th.2020 ,1532,428,2339,1654,0,0,0,0,0,0,0.41418481367351,0,0.460752111678996,0,0,0,0,0,0.199575829682435,0,0,49.jpeg,1
118,122,793,746,23,81.3865526,One Consultation and unlimited follow up visits. Valid till 14-01-2020 ,868,816,2339,1654,0,0,0,0,0,0,0.171910279722603,0,0.182603303407162,0,0,0,0,0,0,0,0,49.jpeg,0
119,453,289,163,22,12.962799,Dt:17/08/2022.,616,311,2338,1700,0,0,0,0,0,0,0,0,0.195401569114729,0,0,0,0,0.131884136870918,0.226731253989194,0,0,50.jpeg,1
120,351,278,244,41,46.7174583333333, Ack Dt:17/08/2022. ,107,595,319,2338,1700,0,0,0,0,0,0,0,0,0.206026760432167,0,0,0,0,0.143231394802233,0.236610967046025,0,50.jpeg,1
121,340,1077,91,17,82.674194,[05-12-22,431,1094,2338,1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.jpeg,0
122,333,1148,107,58,0,[22-12-22:|,440,1206,2338,1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.jpeg,0
123,316,1178,109,59,58.299847,_|26-12-22,425,1237,2338,1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.jpeg,0
124,333,1148,451,58,32.3797403333333,[22-12-22:| 22071010 —- BISLERI WATER 20LTRS ,784,1206,2338,1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.jpeg,0
125,100,1178,719,59,32.3214204285714,|Rizz73co«a002648 _|26-12-22 [22011010 __ [SISLERIWATER 201TR |. ,819,1237,2338,1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.jpeg,0
126,212,267,127,20,96.105949,27/12/2022,339,287,2339,1653,0,0,0,0,0,0,0,0,0.042007488013946,0,0,0,0,0.0820372415805634,0,0,0,42.jpeg,1
127,212,561,127,20,93.058998,27/12/2022,339,581,2339,1653,0,0,0,0,0,0,0,0,0.0996639673260495,0,0,0,0.0885048185282543,0,0,0,0,42.jpeg,0
128,363,561,127,20,96.851837,28/12/2022,490,581,2339,1653,0,0,0,0,0,0,0,0,0.153566813695903,0,0,0,0.112431971820768,0,0,0,0,42.jpeg,0
129,212,267,127,20,96.105949,27/12/2022 ,339,287,2339,1653,0,0,0,0,0,0,0,0,0.042007488013946,0,0,0,0,0.0820372415805634,0,0,0,42.jpeg,1
130,199,299,133,23,47.387981,01-Apr-2023,332,322,2339,1653,0,0,0,0,0,0,0.0943980727633496,0,0,0,0,0,0,0,0.105040442827776,0,0.126454851066316,44.jpeg,1
131,322,337,132,23,96.653938,31-Mar-2023,454,360,2339,1653,0,0,0,0,0,0,0.169180872807749,0,0,0,0,0,0,0,0.120424561428216,0,0.201084114126808,44.jpeg,0
132,28,298,272,23,75.6577316,Bill Issue Date : 01-Apr-2023 ,300,321,2339,1653,0,0,0,0,0,0,0.0750346145759736,0,0,0,0,0,0,0,0.10579938337908,0,0.107091695233492,44.jpeg,1
133,28,336,389,23,90.88569,Bill Period : 01-Mai-2023 to 31-Mar-2023 ,417,359,2339,1653,0,0,0,0,0,0,0.146897129351515,0,0,0,0,0,0,0,0.106877683574713,0,0.178762569894259,44.jpeg,0
134,250,192,133,24,96.060875,2023-02-16,383,216,2200,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.jpeg,0
135,1064,641,208,31,39.737503,16/02/2023.,1272,672,2200,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.jpeg,1
136,1058,667,139,30,50.174618,‘16/02/2023,1197,697,2200,1700,0,0,0,0,0,0,0,0,0,0,0.167888049716331,0,0,0,0,0,0,52.jpeg,0
137,250,192,243,26,71.52969,2023-02-16 10:29:00! ,493,218,2200,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.jpeg,0
138,1064,641,208,31,39.737503,16/02/2023. ,1272,672,2200,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.jpeg,1
139,1058,667,139,30,50.174618,‘16/02/2023 ,1197,697,2200,1700,0,0,0,0,0,0,0,0,0,0,0.167888049716331,0,0,0,0,0,0,52.jpeg,0
140,1292,331,164,24,95.288605,10-Oct-2022,1456,355,2200,1700,0,0,0,0,0,0,0,0,0.0731352194949773,0,0,0,0,0,0,0,0,13.jpeg,1
141,1292,331,164,24,95.288605,10-Oct-2022 ,1456,355,2200,1700,0,0,0,0,0,0,0,0,0.0731352194949773,0,0,0,0,0,0,0,0,13.jpeg,1
142,1411,171,100,19,56.832672,4/11/2023,1511,190,2200,1700,0,0,0,0,0,0,0,0,0.123369531580184,0,0,0,0,0.121764705882353,0,0,0,31.jpeg,1
143,1411,171,100,19,56.832672,4/11/2023 ,1511,190,2200,1700,0,0,0,0,0,0,0,0,0.123369531580184,0,0,0,0,0.121764705882353,0,0,0,31.jpeg,1
144,1300,519,87,19,32.589661,7-Dec-22,1387,538,2338,1654,0,0,0,0,0,0,0.099803081112777,0,0.693800052772648,0.641643032984113,0,0,0,0.376842545031293,0,0,0,19.jpeg,0
145,289,1697,86,23,81.668312,19-Dec-22,375,1720,2338,1654,0,0,0,0,0,0,0,0,0.144326792797776,0,0,0,0,0,0,0,0,19.jpeg,1
146,272,1700,90,23,50.6115835,t 19-Dec-22 ,362,1723,2338,1654,0,0,0,0,0,0,0,0,0.143992784659811,0,0,0,0,0,0,0,0,19.jpeg,1
147,1324,361,169,76,0,[14-Mar-23,1493,437,2200,1700,0,0,0,0,0,0,0,0,0.360881484258281,0,0,0,0,0,0,0,0,26.jpeg,1
148,1343,520,150,23,67.342278,14-Mar-23,1493,543,2200,1700,0,0,0,0,0,0,0,0,0.366003533010718,0,0,0,0,0,0,0,0,26.jpeg,0
149,1154,361,316,76,37.4164733333333,linv. Date. [14-Mar-23 ,1470,437,2200,1700,0,0,0,0,0,0,0,0,0.347363494393918,0,0,0,0,0,0,0,0,26.jpeg,1
